model,split,condition,is_grammatical,WER_mean,S_sum,I_sum,D_sum
conformer_large_960h,clean,clean,0,0.5111111111111111,3,2,0
conformer_large_960h,clean,clean,1,0.1082766439909297,4,1,1
conformer_large_960h,real,env1,0,0.5111111111111111,3,2,0
conformer_large_960h,real,env1,1,0.1082766439909297,4,1,1
conformer_large_960h,real,env2,0,0.5944444444444444,4,2,0
conformer_large_960h,real,env2,1,0.12613378684807255,5,1,1
conformer_large_960h,synthetic,noise_traffic_snr10,0,0.5944444444444444,4,2,0
conformer_large_960h,synthetic,noise_traffic_snr10,1,0.1082766439909297,4,1,1
conformer_large_960h,synthetic,noise_traffic_snr20,0,0.5944444444444444,4,2,0
conformer_large_960h,synthetic,noise_traffic_snr20,1,0.1082766439909297,4,1,1
conformer_large_960h,synthetic,noise_white_snr10,0,0.7277777777777777,6,2,0
conformer_large_960h,synthetic,noise_white_snr10,1,0.1439909297052154,6,1,1
conformer_large_960h,synthetic,noise_white_snr20,0,0.6611111111111111,5,2,0
conformer_large_960h,synthetic,noise_white_snr20,1,0.1082766439909297,4,1,1
hubert_large_ls960,clean,clean,0,0.5777777777777778,4,2,0
hubert_large_ls960,clean,clean,1,0.1082766439909297,4,1,1
hubert_large_ls960,real,env1,0,0.6611111111111111,5,2,0
hubert_large_ls960,real,env1,1,0.12613378684807255,5,1,1
hubert_large_ls960,real,env2,0,0.6611111111111111,5,2,0
hubert_large_ls960,real,env2,1,0.12613378684807255,5,1,1
hubert_large_ls960,synthetic,noise_traffic_snr10,0,0.5777777777777778,4,2,0
hubert_large_ls960,synthetic,noise_traffic_snr10,1,0.1082766439909297,4,1,1
hubert_large_ls960,synthetic,noise_traffic_snr20,0,0.5777777777777778,4,2,0
hubert_large_ls960,synthetic,noise_traffic_snr20,1,0.1082766439909297,4,1,1
hubert_large_ls960,synthetic,noise_white_snr10,0,0.5777777777777778,4,2,0
hubert_large_ls960,synthetic,noise_white_snr10,1,0.12613378684807255,5,1,1
hubert_large_ls960,synthetic,noise_white_snr20,0,0.5777777777777778,4,2,0
hubert_large_ls960,synthetic,noise_white_snr20,1,0.1082766439909297,4,1,1
wav2vec2_960h,clean,clean,0,0.5722222222222223,6,1,0
wav2vec2_960h,clean,clean,1,0.12868480725623582,5,1,1
wav2vec2_960h,real,env1,0,0.7277777777777777,6,2,0
wav2vec2_960h,real,env1,1,0.12613378684807255,5,1,1
wav2vec2_960h,real,env2,0,0.8777777777777778,8,2,0
wav2vec2_960h,real,env2,1,0.17828798185941044,7,1,2
wav2vec2_960h,synthetic,noise_traffic_snr10,0,0.5722222222222223,6,1,0
wav2vec2_960h,synthetic,noise_traffic_snr10,1,0.12868480725623582,5,1,1
wav2vec2_960h,synthetic,noise_traffic_snr20,0,0.5722222222222223,6,1,0
wav2vec2_960h,synthetic,noise_traffic_snr20,1,0.12868480725623582,5,1,1
wav2vec2_960h,synthetic,noise_white_snr10,0,1.1777777777777778,10,4,0
wav2vec2_960h,synthetic,noise_white_snr10,1,0.157312925170068,7,1,1
wav2vec2_960h,synthetic,noise_white_snr20,0,0.7944444444444444,7,2,0
wav2vec2_960h,synthetic,noise_white_snr20,1,0.1439909297052154,6,1,1
whisper_base,clean,clean,0,0.08333333333333333,1,0,0
whisper_base,clean,clean,1,0.03571428571428571,2,0,0
whisper_base,real,env1,0,0.08333333333333333,1,0,0
whisper_base,real,env1,1,0.017857142857142856,1,0,0
whisper_base,real,env2,0,0.4444444444444444,2,2,0
whisper_base,real,env2,1,0.017857142857142856,1,0,0
whisper_base,synthetic,noise_traffic_snr10,0,0.08333333333333333,1,0,0
whisper_base,synthetic,noise_traffic_snr10,1,0.03571428571428571,2,0,0
whisper_base,synthetic,noise_traffic_snr20,0,0.08333333333333333,1,0,0
whisper_base,synthetic,noise_traffic_snr20,1,0.06746031746031746,3,0,1
whisper_base,synthetic,noise_white_snr10,0,0.08333333333333333,1,0,0
whisper_base,synthetic,noise_white_snr10,1,0.0496031746031746,2,0,1
whisper_base,synthetic,noise_white_snr20,0,0.5277777777777778,3,2,0
whisper_base,synthetic,noise_white_snr20,1,0.03571428571428571,2,0,0
whisper_small,clean,clean,0,0.08333333333333333,1,0,0
whisper_small,clean,clean,1,0.03373015873015873,2,0,0
whisper_small,real,env1,0,0.0,0,0,0
whisper_small,real,env1,1,0.017857142857142856,1,0,0
whisper_small,real,env2,0,0.4444444444444444,2,2,0
whisper_small,real,env2,1,0.017857142857142856,1,0,0
whisper_small,synthetic,noise_traffic_snr10,0,0.08333333333333333,1,0,0
whisper_small,synthetic,noise_traffic_snr10,1,0.017857142857142856,1,0,0
whisper_small,synthetic,noise_traffic_snr20,0,0.08333333333333333,1,0,0
whisper_small,synthetic,noise_traffic_snr20,1,0.017857142857142856,1,0,0
whisper_small,synthetic,noise_white_snr10,0,0.06666666666666667,1,0,0
whisper_small,synthetic,noise_white_snr10,1,0.06746031746031746,3,0,1
whisper_small,synthetic,noise_white_snr20,0,0.0,0,0,0
whisper_small,synthetic,noise_white_snr20,1,0.017857142857142856,1,0,0
