model,split,condition,WER_mean,WER_std,CER_mean,S_sum,I_sum,D_sum
conformer_large_960h,clean,clean,0.22912698412698412,0.4020850377631733,0.024751359751359732,7,3,1
conformer_large_960h,real,env1,0.22912698412698412,0.4020850377631733,0.02058469308469306,7,3,1
conformer_large_960h,real,env2,0.2666269841269841,0.38690634241978084,0.0418768506268506,9,3,1
conformer_large_960h,synthetic,noise_traffic_snr10,0.2541269841269841,0.3939455554985599,0.030360334110334092,8,3,1
conformer_large_960h,synthetic,noise_traffic_snr20,0.2541269841269841,0.3939455554985599,0.030360334110334092,8,3,1
conformer_large_960h,synthetic,noise_white_snr10,0.3191269841269841,0.3953371032575365,0.04873776748776746,12,3,1
conformer_large_960h,synthetic,noise_white_snr20,0.2741269841269841,0.3959639591655936,0.0319308469308469,9,3,1
hubert_large_ls960,clean,clean,0.24912698412698414,0.4054353770518139,0.02933469308469307,8,3,1
hubert_large_ls960,real,env1,0.2866269841269841,0.38824646619141306,0.04198339948339945,10,3,1
hubert_large_ls960,real,env2,0.2866269841269841,0.38824646619141306,0.05087228837228834,10,3,1
hubert_large_ls960,synthetic,noise_traffic_snr10,0.24912698412698414,0.4054353770518139,0.02933469308469307,8,3,1
hubert_large_ls960,synthetic,noise_traffic_snr20,0.24912698412698414,0.4054353770518139,0.02933469308469307,8,3,1
hubert_large_ls960,synthetic,noise_white_snr10,0.26162698412698415,0.3987733077346316,0.03626787626787624,9,3,1
hubert_large_ls960,synthetic,noise_white_snr20,0.24912698412698414,0.4054353770518139,0.0314180264180264,8,3,1
wav2vec2_960h,clean,clean,0.2617460317460317,0.2840463144030556,0.051428710178710146,11,2,1
wav2vec2_960h,real,env1,0.3066269841269841,0.3997175492964844,0.048147929397929355,11,3,1
wav2vec2_960h,real,env2,0.3881349206349206,0.41032451535694797,0.09088581033702982,15,3,2
wav2vec2_960h,synthetic,noise_traffic_snr10,0.2617460317460317,0.2840463144030556,0.04934537684537681,11,2,1
wav2vec2_960h,synthetic,noise_traffic_snr20,0.2617460317460317,0.2840463144030556,0.048095376845376805,11,2,1
wav2vec2_960h,synthetic,noise_white_snr10,0.46345238095238095,0.5047175493944337,0.12295748865870815,17,5,1
wav2vec2_960h,synthetic,noise_white_snr20,0.3391269841269841,0.41566172588051925,0.057368303618303584,13,3,1
whisper_base,clean,clean,0.05,0.08740073734751264,0.01616424116424115,3,0,0
whisper_base,real,env1,0.0375,0.0843685697138191,0.01346153846153845,2,0,0
whisper_base,real,env2,0.14583333333333331,0.4190901741559614,0.00747863247863247,3,2,0
whisper_base,synthetic,noise_traffic_snr10,0.05,0.08740073734751264,0.01616424116424115,3,0,0
whisper_base,synthetic,noise_traffic_snr20,0.07222222222222222,0.10053867261585477,0.024497574497574483,4,0,1
whisper_base,synthetic,noise_white_snr10,0.05972222222222222,0.10101720303315656,0.01762820512820511,3,0,1
whisper_base,synthetic,noise_white_snr20,0.18333333333333332,0.41303977030287514,0.0244224994224994,5,2,0
whisper_small,clean,clean,0.04861111111111111,0.08617828920826984,0.01762820512820511,3,0,0
whisper_small,real,env1,0.0125,0.03952847075210474,0.0019230769230769201,1,0,0
whisper_small,real,env2,0.14583333333333331,0.4190901741559614,0.00747863247863247,3,2,0
whisper_small,synthetic,noise_traffic_snr10,0.0375,0.0843685697138191,0.01346153846153845,2,0,0
whisper_small,synthetic,noise_traffic_snr20,0.0375,0.0843685697138191,0.01346153846153845,2,0,0
whisper_small,synthetic,noise_white_snr10,0.06722222222222222,0.09155717366423408,0.022959112959112953,4,0,1
whisper_small,synthetic,noise_white_snr20,0.0125,0.03952847075210474,0.0019230769230769201,1,0,0
